pT (GeV)       dN/dpt         error          
0.006225       1.60643e-06    1.60643e-06    
0.018675       0              0              
0.031125       0              0              
0.043575       1.60643e-06    1.60643e-06    
0.056025       0              0              
0.068475       1.60643e-06    1.60643e-06    
0.080925       3.21285e-06    2.27183e-06    
0.093375       3.21285e-06    2.27183e-06    
0.105825       3.21285e-06    2.27183e-06    
0.118275       3.21285e-06    2.27183e-06    
0.130725       4.81928e-06    2.78241e-06    
0.143175       4.81928e-06    2.78241e-06    
0.155625       6.4257e-06     3.21285e-06    
0.168075       1.1245e-05     4.2502e-06     
0.180525       3.21285e-06    2.27183e-06    
0.192975       6.4257e-06     3.21285e-06    
0.205425       6.4257e-06     3.21285e-06    
0.217875       9.63855e-06    3.93492e-06    
0.230325       1.1245e-05     4.2502e-06     
0.242775       3.21285e-06    2.27183e-06    
0.255225       8.03213e-06    3.59208e-06    
0.267675       8.03213e-06    3.59208e-06    
0.280125       1.1245e-05     4.2502e-06     
0.292575       9.63855e-06    3.93492e-06    
0.305025       1.60643e-05    5.07996e-06    
0.317475       1.76707e-05    5.32791e-06    
0.329925       1.1245e-05     4.2502e-06     
0.342375       1.60643e-05    5.07996e-06    
0.354825       1.28514e-05    4.54366e-06    
0.367275       1.60643e-05    5.07996e-06    
0.379725       1.76707e-05    5.32791e-06    
0.392175       1.60643e-05    5.07996e-06    
0.404625       1.60643e-05    5.07996e-06    
0.417075       2.08835e-05    5.79205e-06    
0.429525       1.44578e-05    4.81928e-06    
0.441975       1.28514e-05    4.54366e-06    
0.454425       3.53414e-05    7.5348e-06     
0.466875       3.05221e-05    7.00225e-06    
0.479325       1.92771e-05    5.56482e-06    
0.491775       1.92771e-05    5.56482e-06    
0.504225       1.44578e-05    4.81928e-06    
0.516675       2.57028e-05    6.4257e-06     
0.529125       2.57028e-05    6.4257e-06     
0.541575       2.08835e-05    5.79205e-06    
0.554025       2.57028e-05    6.4257e-06     
0.566475       3.85542e-05    7.86984e-06    
0.578925       2.249e-05      6.01069e-06    
0.591375       2.89157e-05    6.81549e-06    
0.603825       2.249e-05      6.01069e-06    
0.616275       3.69478e-05    7.70415e-06    
0.628725       1.92771e-05    5.56482e-06    
0.641175       2.57028e-05    6.4257e-06     
0.653625       2.89157e-05    6.81549e-06    
0.666075       2.249e-05      6.01069e-06    
0.678525       3.53414e-05    7.5348e-06     
0.690975       3.21285e-05    7.18415e-06    
0.703425       4.17671e-05    8.19119e-06    
0.715875       3.05221e-05    7.00225e-06    
0.728325       1.60643e-05    5.07996e-06    
0.740775       1.92771e-05    5.56482e-06    
0.753225       3.53414e-05    7.5348e-06     
0.765675       1.92771e-05    5.56482e-06    
0.778125       3.69478e-05    7.70415e-06    
0.790575       3.85542e-05    7.86984e-06    
0.803025       4.01606e-05    8.03213e-06    
0.815475       4.81928e-05    8.79875e-06    
0.827925       2.57028e-05    6.4257e-06     
0.840375       3.21285e-05    7.18415e-06    
0.852825       3.05221e-05    7.00225e-06    
0.865275       2.57028e-05    6.4257e-06     
0.877725       4.81928e-05    8.79875e-06    
0.890175       3.53414e-05    7.5348e-06     
0.902625       4.81928e-05    8.79875e-06    
0.915075       5.14056e-05    9.08731e-06    
0.927525       2.249e-05      6.01069e-06    
0.939975       4.17671e-05    8.19119e-06    
0.952425       3.37349e-05    7.36157e-06    
0.964875       4.17671e-05    8.19119e-06    
0.977325       4.97992e-05    8.9442e-06     
0.989775       4.81928e-05    8.79875e-06    
1.00222        3.21285e-05    7.18415e-06    
1.01467        4.01606e-05    8.03213e-06    
1.02712        3.85542e-05    7.86984e-06    
1.03957        3.85542e-05    7.86984e-06    
1.05202        4.65863e-05    8.65086e-06    
1.06447        4.97992e-05    8.9442e-06     
1.07692        4.01606e-05    8.03213e-06    
1.08937        4.65863e-05    8.65086e-06    
1.10182        3.53414e-05    7.5348e-06     
1.11427        4.97992e-05    8.9442e-06     
1.12672        4.17671e-05    8.19119e-06    
1.13917        5.14056e-05    9.08731e-06    
1.15162        3.85542e-05    7.86984e-06    
1.16407        4.01606e-05    8.03213e-06    
1.17652        5.78313e-05    9.63855e-06    
1.18897        3.53414e-05    7.5348e-06     
1.20142        5.62249e-05    9.50374e-06    
1.21387        3.69478e-05    7.70415e-06    
1.22632        5.3012e-05     9.22821e-06    
1.23877        4.17671e-05    8.19119e-06    
1.25122        3.85542e-05    7.86984e-06    
1.26367        4.81928e-05    8.79875e-06    
1.27612        3.37349e-05    7.36157e-06    
1.28857        4.81928e-05    8.79875e-06    
1.30102        3.21285e-05    7.18415e-06    
1.31347        4.49799e-05    8.5004e-06     
1.32592        5.46185e-05    9.36699e-06    
1.33837        3.53414e-05    7.5348e-06     
1.35082        4.81928e-05    8.79875e-06    
1.36327        5.14056e-05    9.08731e-06    
1.37572        4.81928e-05    8.79875e-06    
1.38817        6.10442e-05    9.90267e-06    
1.40062        3.21285e-05    7.18415e-06    
1.41307        5.78313e-05    9.63855e-06    
1.42552        4.81928e-05    8.79875e-06    
1.43797        5.3012e-05     9.22821e-06    
1.45042        4.17671e-05    8.19119e-06    
1.46287        5.3012e-05     9.22821e-06    
1.47532        5.3012e-05     9.22821e-06    
1.48777        4.33735e-05    8.34723e-06    
1.50022        5.14056e-05    9.08731e-06    
1.51267        4.81928e-05    8.79875e-06    
1.52512        4.49799e-05    8.5004e-06     
1.53757        4.17671e-05    8.19119e-06    
1.55002        5.14056e-05    9.08731e-06    
1.56247        5.94378e-05    9.7715e-06     
1.57492        5.3012e-05     9.22821e-06    
1.58737        4.97992e-05    8.9442e-06     
1.59982        6.10442e-05    9.90267e-06    
1.61227        6.4257e-05     1.01599e-05    
1.62472        5.94378e-05    9.7715e-06     
1.63717        5.3012e-05     9.22821e-06    
1.64962        6.74699e-05    1.04108e-05    
1.66207        5.78313e-05    9.63855e-06    
1.67452        5.46185e-05    9.36699e-06    
1.68697        4.97992e-05    8.9442e-06     
1.69942        5.14056e-05    9.08731e-06    
1.71187        5.14056e-05    9.08731e-06    
1.72432        5.14056e-05    9.08731e-06    
1.73677        6.26506e-05    1.00321e-05    
1.74922        4.97992e-05    8.9442e-06     
1.76167        5.62249e-05    9.50374e-06    
1.77412        4.81928e-05    8.79875e-06    
1.78657        4.65863e-05    8.65086e-06    
1.79902        6.26506e-05    1.00321e-05    
1.81147        5.46185e-05    9.36699e-06    
1.82392        6.4257e-05     1.01599e-05    
1.83637        5.46185e-05    9.36699e-06    
1.84882        7.06827e-05    1.06558e-05    
1.86127        6.10442e-05    9.90267e-06    
1.87372        5.3012e-05     9.22821e-06    
1.88617        6.58635e-05    1.02861e-05    
1.89862        4.65863e-05    8.65086e-06    
1.91107        3.85542e-05    7.86984e-06    
1.92352        5.46185e-05    9.36699e-06    
1.93597        6.10442e-05    9.90267e-06    
1.94842        5.94378e-05    9.7715e-06     
1.96087        4.65863e-05    8.65086e-06    
1.97332        4.97992e-05    8.9442e-06     
1.98577        5.3012e-05     9.22821e-06    
1.99822        4.97992e-05    8.9442e-06     
